City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,derbent,42.0678,48.2899,3.27,69,100,0.43,RU,1706721654
164,bamboo flat,11.7,92.7167,26.05,89,20,1.03,IN,1706721654
165,coyhaique,-45.5752,-72.0662,20.34,42,40,4.12,CL,1706721655
166,fray luis beltran,-39.3167,-65.7667,36.67,12,3,3.45,AR,1706721656
167,la'ie,21.6477,-157.9253,20.58,85,42,0.45,US,1706721656
168,jamestown,42.097,-79.2353,5.01,85,40,3.6,US,1706720989
169,sorong,-0.8833,131.25,27.2,81,95,0.91,ID,1706721657
170,yatou,37.15,122.3833,-1.63,56,85,10.32,CN,1706721658
171,vilyuchinsk,52.9306,158.4028,-16.15,72,89,3.99,RU,1706721313
172,hilo,19.7297,-155.09,20.85,99,100,2.57,US,1706721659
173,bodo,67.28,14.405,6.54,71,75,9.26,NO,1706721659
174,hermanus,-34.4187,19.2345,22.11,86,96,4.39,ZA,1706721220
175,callao,-12.0667,-77.15,28.16,57,0,6.17,PE,1706721305
176,anton lizardo,19.05,-95.9833,24.01,62,100,1.32,MX,1706721661
177,tsengel,49.4783,100.8894,-24.91,96,51,1.84,MN,1706721662
178,tarfaya,27.9358,-12.9218,22.08,49,11,5.01,MA,1706721662
179,uturoa,-16.7333,-151.4333,28.57,75,96,4.23,PF,1706721252
180,mul,20.0667,79.6667,22.86,46,93,1.78,IN,1706721663
181,codrington,-38.2667,141.9667,13.08,95,91,3.14,AU,1706721193
182,taunsa,30.7048,70.6505,15.56,45,62,0.99,PK,1706721664
183,pauini,-7.7136,-66.9764,30.58,71,100,0.53,BR,1706721665
184,loango,-4.6719,11.8312,24.81,88,75,4.12,CG,1706721086
185,okha,53.5739,142.9478,-20.41,92,99,5.09,RU,1706721666
186,sitka,57.0531,-135.33,1.94,64,100,9.26,US,1706721180
187,shetpe,44.1667,52.1167,-4.24,95,81,3.08,KZ,1706721666
188,rajaori,33.3833,74.3,8.81,76,99,2.0,IN,1706721667
189,nemuro,43.3236,145.575,0.02,98,99,6.13,JP,1706721668
190,korla,41.7597,86.1469,-3.85,69,98,2.71,CN,1706721668
191,hasaki,35.7333,140.8333,14.22,90,65,6.5,JP,1706721669
192,punta arenas,-53.15,-70.9167,11.06,66,75,5.66,CL,1706721247
